,country,year,upsec_ageindatayear,Female_Needs_in_primary,Female_Needs_in_LS,Female_Needs_in_US,Male_Needs_in_primary,Male_Needs_in_LS,Male_Needs_in_US,age_low,age_high,age_band,Total_population_agerange,Female_population_agerange,Male_population_agerange,Female_primary_pop,Female_LS_pop,Female_US_pop,Male_primary_pop,Male_LS_pop,Male_US_pop,Gender_parity_index_primary,Gender_parity_index_LS,Gender_parity_index_US
10,Benin,2017-18,16-18,51.6270797002416,37.70335291886339,1.27010585384258,38.688185668478106,44.99478385893651,0.5523562662495526,16,18,3,774.1469999999999,382.0,392.0,197215.4444549229,144026.80815005815,4851.804361678655,151657.68782043416,176379.5527270311,2165.2365636982463,1.3003985969272462,0.8165731567136765,2.240773337667882
11,Bhutan,2010,17-18,30.900000000000002,40.400000000000006,2.1,31.6,43.8,1.9,17,18,2,28.009,14.0,14.0,4326.0,5656.000000000001,294.0,4424.0,6132.0,266.0,0.9778481012658228,0.9223744292237445,1.105263157894737
12,Bolivia,2008,14-17,8.9,18.9,2.9,7.3,19.9,2.7,14,17,4,918.9929999999999,450.0,469.0,40050.0,85050.0,13050.0,34237.0,93331.0,12663.0,1.1697870724654613,0.9112727818195455,1.0305614783226724
13,Bosnia and Herzegovina,2012,15-18,0.3,4.0,0.0,0.4,2.7,0.0,15,18,4,128.368,63.0,65.0,189.0,2520.0,0.0,260.0,1755.0,0.0,0.7269230769230769,1.435897435897436,
15,Brazil,2013,15-17,3.4000000000000004,27.3,1.8,5.699999999999999,36.8,1.9,15,17,3,9577.975999999999,4700.0,4878.0,159800.0,1283100.0,84600.0,278045.99999999994,1795104.0,92682.0,0.5747250454960691,0.7147775282100647,0.9127986016702272
16,Burkina Faso,2010,16-18,75.0,20.9,0.2,64.1,27.700000000000003,0.2,16,18,3,1382.987,678.0,705.0,508500.0,141702.0,1356.0,451905.0,195285.0,1410.0,1.125236498821655,0.725616406790076,0.9617021276595744
17,Burundi,2016-17,17-19,36.9,50.8,1.1,38.1,48.9,0.8,17,19,3,700.329,350.0,350.0,129150.0,177800.0,3850.0,133350.0,171150.0,2800.0,0.968503937007874,1.0388548057259714,1.375
18,Cambodia,2014,15-17,22.200000000000003,39.0,7.1,28.7,35.9,5.7,15,17,3,880.748,438.0,442.0,97236.00000000001,170820.0,31098.0,126854.0,158678.0,25194.0,0.7665189903353462,1.076519744388006,1.2343415098833055
19,Cameroon,2018,16-18,23.729544411922,39.794178203426,1.400688451807,20.739635938614,46.041554696246,1.607322009016,16,18,3,1713.741,852.0,862.0,202175.71838957546,339046.3982931895,11933.86560939564,178775.6617908527,396878.2014816406,13855.11571771792,1.1308906165655712,0.8542832461633034,0.8613327995618697
20,Central African Republic,2018-19,16-18,62.46204676397127,33.836023107070915,0.0593758930475108,50.26657464391637,43.64299961780075,0.154390554511443,16,18,3,359.484,180.0,180.0,112431.68417514829,60904.841592727644,106.87660748551943,90479.83435904948,78557.39931204134,277.90299812059743,1.2426159372594305,0.7752909608273157,0.38458241979505303
