,country,Female_NEET_15_19,Female_NEET_20_24,year,Male_NEET_15_19,Male_NEET_20_24,15_19_male_total_pop,20_24_male_total_pop,15_19_female_total_pop,20_24_female_total_pop,%Male_NEET_15_19,%Male_NEET_20_24,%Female_NEET_15_19,%Female_NEET_20_24,%Total_NEET_15_19,%Total_NEET_20_24
95,South Africa,308.399,1423.823,2020,316.878,1275.954,2472.0,2477.0,2480.0,2429.0,12.81868932038835,51.51207105369399,12.435443548387097,58.61766158913133,12.626756865912764,55.03010599266205
96,Sri Lanka,115.511,330.309,2019,83.424,118.62,821.0,739.0,837.0,760.0,10.161266747868455,16.051420838971584,13.800597371565113,43.46171052631579,11.998492159227986,29.948565710473652
97,Sudan,527.831,848.952,2011,294.845,333.898,1914.0,1549.0,1935.0,1601.0,15.404649947753398,21.5557133634603,27.278087855297155,53.0263585259213,21.37375941803066,37.55079365079364
98,Suriname,1.669,5.442,2016,1.761,2.508,26.0,25.0,24.0,24.0,6.773076923076923,10.032,6.954166666666667,22.675,6.859999999999999,16.224489795918366
99,"Tanzania, United Republic of",332.612,437.171,2014,228.966,180.21,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,inf
100,Thailand,205.343,640.051,2020,196.654,357.665,2245.0,2450.0,2097.0,2322.0,8.759643652561246,14.59857142857143,9.792226990939437,27.564642549526276,9.258337171810224,20.90771165129925
101,Timor-Leste,10.844,20.564,2016,7.416,12.534,71.0,62.0,71.0,62.0,10.445070422535212,20.216129032258063,15.273239436619718,33.16774193548387,12.859154929577462,26.691935483870964
102,Togo,77.601,101.938,2017,48.919,49.936,406.0,340.0,418.0,350.0,12.049014778325121,14.687058823529412,18.564832535885166,29.125142857142862,15.354368932038835,22.010724637681157
103,Tonga,0.89,2.093,2018,1.182,1.46,6.0,5.0,5.0,5.0,19.7,29.2,17.8,41.86,18.836363636363636,35.53
104,Tunisia,90.939,214.796,2010,73.855,123.236,491.0,525.0,442.0,505.0,15.04175152749491,23.47352380952381,20.57443438914027,42.53386138613861,17.66280814576634,32.81864077669903
105,Turkey,678.594,1372.723,2020,498.831,768.188,3489.0,3449.0,3327.0,3337.0,14.29724849527085,22.272774717309364,20.3965734896303,41.1364399160923,17.27442781690141,31.54893899204244
106,Tuvalu,0.106,0.273,2016,0.088,0.169,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,inf
107,Uganda,551.85,922.344,2017,397.835,393.14,2313.0,1865.0,2433.0,2044.0,17.199956766104624,21.0798927613941,22.681874229346487,45.12446183953033,20.01021913190055,33.65269889997442
108,United States,599.04,1743.885,2021,640.03,1564.699,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,inf
109,Uruguay,19.394,34.62,2019,20.774,23.408,127.0,130.0,120.0,125.0,16.357480314960632,18.006153846153847,16.161666666666665,27.695999999999998,16.26234817813765,22.756078431372547
110,Vanuatu,5.102,7.496,2019,5.046,5.531,15.0,13.0,14.0,13.0,33.64,42.54615384615384,36.44285714285714,57.66153846153846,34.99310344827586,50.103846153846156
111,"Venezuela, Bolivarian Republic of",333.931,478.565,2017,227.019,186.64,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,inf
112,Viet Nam,423.353,580.795,2020,430.888,336.429,3365.0,3500.0,3161.0,3212.0,12.804992570579493,9.612257142857143,13.393008541600759,18.08203611457036,13.089809990806007,13.665435041716329
113,Yemen,753.496,898.544,2014,256.078,317.56,1507.0,1421.0,1467.0,1413.0,16.99256801592568,22.347642505277975,51.36305385139741,63.59122434536447,33.94667114996637,42.91122088920254
114,Zambia,350.411,598.08,2019,252.073,355.75,1027.0,834.0,1061.0,882.0,24.544595910418696,42.65587529976019,33.02648444863336,67.80952380952382,28.854597701149427,55.58449883449884
115,Zimbabwe,308.081,376.383,2019,236.666,240.259,793.0,655.0,825.0,717.0,29.84438839848676,36.68076335877862,37.34315151515152,52.494142259414225,33.66792336217553,44.944752186588914
