,Unnamed: 0,country,GPI_path_primary,GPI_path_LS,GPI_path_US,Female_Never entered primary_pop,Female_Did not transition to lower secondary_pop,Female_Did not transition to upper secondary_pop,Male_Never entered primary_pop,Male_Did not transition to lower secondary_pop,Male_Did not transition to upper secondary_pop,GPI_NEET_15_19,GPI_NEET_20_24,Female_primary_pop_cumulative,Female_LS_pop_cumulative,Female_US_pop_cumulative,Male_primary_pop_cumulative,Male_LS_pop_cumulative,Male_US_pop_cumulative,GPI_primary_cumulative,GPI_LS_cumulative,GPI_US_cumulative
39,39,Guinea,1.3199050522693034,0.6905277636123913,1.4320622522506474,185524.2746289665,20839.74877090253,3749.521714222037,130742.29545567978,12266.831313322007,2618.2672634023,2.9662478831081884,2.058333613191389,185524.2746289665,206364.02339986904,210113.54511409107,130742.29545567978,143009.12676900177,145627.3940324041,1.41900732262925,1.443012960516866,1.442816075300626
40,40,Guinea-Bissau,1.0070397240710245,0.9519812617341096,0.0,7896.26966449159,2493.843630662581,0.0,6724.287885193677,1273.9052711166764,142.614815460187,1.7900749732238486,1.7460840014867522,7896.26966449159,10390.113295154171,10390.113295154171,6724.287885193677,7998.1931563103535,8140.8079717705405,1.1742908393137836,1.2990575611388753,1.2763000099232693
41,41,Guyana,0.217391304347826,0.592391304347826,0.5408163265306123,105.0,45.0,795.0,180.0,240.0,1470.0,1.5089390962671907,2.2542394171586486,105.0,150.0,945.0,180.0,420.0,1890.0,0.5833333333333334,0.35714285714285715,0.5
42,42,Haiti,0.7468271320674651,1.1105413026461812,4.001591716989744,8902.132145402049,12072.600537591698,4094.064204949519,9786.478921748008,6789.991993959387,1023.1089262723028,2.1190348113425035,1.7942375011219818,8902.132145402049,20974.732682993745,25068.796887943266,9786.478921748008,16576.470915707396,17599.5798419797,0.909635857450148,1.2653316130828958,1.424397463634188
43,43,Honduras,0.8028032345013477,0.8301455032166142,0.8609731876861966,3672.0,40800.0,6936.0,4664.0,54484.0,8056.0,3.167193614024104,4.198604506119903,3672.0,44472.0,51408.0,4664.0,59148.0,67204.0,0.7873070325900514,0.7518766484073849,0.7649544669960121
45,45,India,0.9614148312902256,0.8154256425080004,1.2089209331863944,2391900.0,1339464.0,2200548.0,2034406.0,1284888.0,1820258.0,2.360396727923324,3.2983977363725425,2391900.0,3731364.0,5931912.0,2034406.0,3319294.0,5139552.0,1.1757240196892853,1.1241438691480778,1.154169079328315
46,46,Indonesia,0.5461419283441693,0.8664944387705545,1.1546103985929688,54456.0,530946.0,701121.0,65061.0,600007.0,607236.0,1.1079809067758968,1.8573043723754965,54456.0,585402.0,1286523.0,65061.0,665068.0,1272304.0,0.83699912389911,0.8802137525786837,1.0111757881764107
48,48,Iraq,1.3441831170279064,0.7045835396929987,1.7766366722563594,86484.31969920732,119581.34131098678,19780.053774110733,39381.7538069324,87017.352042526,11133.42648105407,3.3467296202644947,4.111807492673282,86484.31969920732,206065.6610101941,225845.71478430484,39381.7538069324,126399.1058494584,137532.53233051248,2.1960504888429684,1.6302778380063758,1.642125764408684
49,49,Jamaica,0.7453703703703703,0.8780541012216405,0.4693877551020408,184.0,0.0,1104.0,384.0,144.0,2352.0,0.931240657698057,1.2555874221636565,184.0,184.0,1288.0,384.0,528.0,2880.0,0.4791666666666667,0.3484848484848485,0.44722222222222224
50,50,Jordan,0.7217428089261614,0.8736635566015507,0.4824944873852483,3980.927413380757,2592.8412367097885,5793.012686142944,1715.4439352927682,4333.857837222571,12006.38108330864,0.9052043892997323,1.279981060211876,3980.927413380757,6573.768650090546,12366.781336233491,1715.4439352927682,6049.3017725153395,18055.68285582398,2.320639766464503,1.086698745954135,0.6849245988082087
51,51,Kenya,0.7837019545497054,0.9311727524488436,1.4803259141494436,59592.0,39728.0,141531.0,50320.0,45288.0,95608.0,1.3879087989098695,1.7963371443130252,59592.0,99320.0,240851.0,50320.0,95608.0,191216.0,1.1842607313195548,1.0388252029118903,1.259575558530667
52,52,Kiribati,0.1617214424035776,0.5596406865322148,0.7739140130325954,10.255309817383264,170.16662877896422,301.2526561003863,78.56305600737552,231.6607027192093,389.25856235620097,0.5661496350364964,1.076054009368972,10.255309817383264,180.4219385963475,481.6745946967337,78.56305600737552,310.22375872658483,699.4823210827858,0.13053603485613507,0.5815864630644297,0.688615823701034
54,54,Kyrgyzstan,0.0,0.8872144682445989,1.3751743992318266,0.0,0.0,13934.978970244572,1023.0275833813,0.0,10133.244901903832,1.2071496008926272,2.6706148867313915,0.0,0.0,13934.978970244572,1023.0275833813,1023.0275833813,11156.272485285132,0.0,0.0,1.249071227744257
55,55,Lao People's Democratic Republic,1.2246501158760883,0.8304370706675392,1.9379086873575095,13415.8002834227,22120.30606311387,10241.478223048847,6473.951204672261,17597.621278750048,5284.809490695821,1.1059762841692886,1.3105877275459716,13415.8002834227,35536.10634653657,45777.584569585415,6473.951204672261,24071.572483422307,29356.38197411813,2.072273926584509,1.476268589059136,1.5593741970636892
56,56,Lebanon,0.4570799706529714,0.8829061405126314,0.9655172413793104,2352.0,10080.0,16632.0,4176.0,16878.0,17226.0,1.2855375440154808,1.9746805822062057,2352.0,12432.0,29064.0,4176.0,21054.0,38280.0,0.5632183908045977,0.5904816186947849,0.7592476489028214
57,57,Lesotho,0.2156705136623512,1.06416074741391,9.371427449160244,373.0443633487672,4230.898085102488,917.6258284657728,721.2915752121248,4945.129683097845,97.91740195865246,0.9136499786050492,1.1591614557559944,373.0443633487672,4603.942448451256,5521.568276917028,721.2915752121248,5666.421258309971,5764.338660268622,0.5171894087894462,0.8124956191175234,0.9578840873759001
58,58,Liberia,0.8459789062777827,1.1616262869085618,176.64177802614992,13888.392545887378,1740.0366022936862,1953.2192932193047,17502.060097249923,309.3784890699041,11.057516036382696,1.0282870829203834,1.7236956950192863,13888.392545887378,15628.429148181065,17581.648441400368,17502.060097249923,17811.438586319826,17822.49610235621,0.7935290170823744,0.8774377809204343,0.9864863114811397
