,Unnamed: 0,country,GPI_path_primary,GPI_path_LS,GPI_path_US,Female_Never entered primary_pop,Female_Did not transition to lower secondary_pop,Female_Did not transition to upper secondary_pop,Male_Never entered primary_pop,Male_Did not transition to lower secondary_pop,Male_Did not transition to upper secondary_pop,GPI_NEET_15_19,GPI_NEET_20_24
21,21,Colombia,0.7632197565301645,0.7266781635943486,1.0987544452985676,6023.846522399999,18675.0986394,15621.329031280002,7053.67795594,40969.35047898,14217.306785989998,1.503612084396832,2.674162265901537
22,22,Comoros,1.1178112786152987,0.8247599451303155,0.6230936819172114,3458.0,1014.0,286.0,1836.0,1026.0,459.0,1.2942618223760092,2.2585090486468538
25,25,Costa Rica,0.4143403211801428,0.7670394646302743,1.6940573675221997,10.65088735345054,1989.6357746454896,349.08073367512577,276.3880442752712,2385.5037740083703,206.0619317666356,0.9845509614993696,1.4439783615275297
26,26,Côte d'Ivoire,1.435852863872015,0.7852381249927262,0.6830238433980562,317420.7054196387,53543.69226437847,13276.528913283377,190103.9396086612,50057.14269188916,19437.87034905312,1.4578952233889937,2.105552714309352
28,28,Dominican Republic,0.4371963913948646,0.6750972202218062,0.916030534351145,3024.0,6426.0,7560.0,5109.0,7860.0,8253.0,1.2466933081289624,1.8415789052176352
30,30,Egypt,0.9536437779531702,0.8580787738371057,2.8298342541436465,102440.0,61464.0,176709.0,70590.0,73305.0,62445.0,2.8800434777527144,2.2803809743678864
32,32,Eswatini,0.6690647482014387,1.0808080808080809,inf,52.0,1222.0,260.0,130.0,754.0,0.0,1.3742095368313108,1.341892854316689
33,33,Ethiopia,1.0338174870676915,0.8426760940856503,0.9947352412116268,409490.1592149,104694.71667531,155723.4977139,200945.66271734,99479.00384658,156547.68350644,2.203616420819877,3.328940331576133
36,36,Georgia,0.3310366637150349,1.0882246721890898,0.4934276725158189,92.95745636310512,35.27357595615606,3443.866689061785,206.71258930026795,0.0,6979.476184427774,0.7993252802263575,0.943262234625735
37,37,Ghana,0.8312061511281343,0.9684984878931224,1.137943221589696,32162.67193158684,24831.177034497905,37292.257682979405,28049.02365571369,21941.351681941727,32771.63304411838,1.0722829013683877,1.3011984380582156
39,39,Guinea,1.3199050522693034,0.6905277636123913,1.4320622522506474,185524.2746289665,20839.74877090253,3749.521714222037,130742.29545567978,12266.831313322007,2618.2672634023,2.9662478831081884,2.058333613191389
40,40,Guinea-Bissau,1.0070397240710245,0.9519812617341096,0.0,7896.26966449159,2493.843630662581,0.0,6724.287885193677,1273.9052711166764,142.614815460187,1.7900749732238486,1.7460840014867522
41,41,Guyana,0.217391304347826,0.592391304347826,0.5408163265306123,105.0,45.0,795.0,180.0,240.0,1470.0,1.5089390962671907,2.2542394171586486
42,42,Haiti,0.7468271320674651,1.1105413026461812,4.001591716989744,8902.132145402049,12072.600537591698,4094.064204949519,9786.478921748008,6789.991993959387,1023.1089262723028,2.1190348113425035,1.7942375011219818
43,43,Honduras,0.8028032345013477,0.8301455032166142,0.8609731876861966,3672.0,40800.0,6936.0,4664.0,54484.0,8056.0,3.167193614024104,4.198604506119903
45,45,India,0.9614148312902256,0.8154256425080004,1.2089209331863944,2391900.0,1339464.0,2200548.0,2034406.0,1284888.0,1820258.0,2.360396727923324,3.2983977363725425
46,46,Indonesia,0.5461419283441693,0.8664944387705545,1.1546103985929688,54456.0,530946.0,701121.0,65061.0,600007.0,607236.0,1.1079809067758968,1.8573043723754965
48,48,Iraq,1.3441831170279064,0.7045835396929987,1.7766366722563594,86484.31969920732,119581.34131098678,19780.053774110733,39381.7538069324,87017.352042526,11133.42648105407,3.3467296202644947,4.111807492673282
49,49,Jamaica,0.7453703703703703,0.8780541012216405,0.4693877551020408,184.0,0.0,1104.0,384.0,144.0,2352.0,0.931240657698057,1.2555874221636565
50,50,Jordan,0.7217428089261614,0.8736635566015507,0.4824944873852483,3980.927413380757,2592.8412367097885,5793.012686142944,1715.4439352927682,4333.857837222571,12006.38108330864,0.9052043892997323,1.279981060211876
51,51,Kenya,0.7837019545497054,0.9311727524488436,1.4803259141494436,59592.0,39728.0,141531.0,50320.0,45288.0,95608.0,1.3879087989098695,1.7963371443130252
52,52,Kiribati,0.1617214424035776,0.5596406865322148,0.7739140130325954,10.255309817383264,170.16662877896422,301.2526561003863,78.56305600737552,231.6607027192093,389.25856235620097,0.5661496350364964,1.076054009368972
54,54,Kyrgyzstan,0.0,0.8872144682445989,1.3751743992318266,0.0,0.0,13934.978970244572,1023.0275833813,0.0,10133.244901903832,1.2071496008926272,2.6706148867313915
55,55,Lao People's Democratic Republic,1.2246501158760883,0.8304370706675392,1.9379086873575095,13415.8002834227,22120.30606311387,10241.478223048847,6473.951204672261,17597.621278750048,5284.809490695821,1.1059762841692886,1.3105877275459716
56,56,Lebanon,0.4570799706529714,0.8829061405126314,0.9655172413793104,2352.0,10080.0,16632.0,4176.0,16878.0,17226.0,1.2855375440154808,1.9746805822062057
57,57,Lesotho,0.2156705136623512,1.06416074741391,9.371427449160244,373.0443633487672,4230.898085102488,917.6258284657728,721.2915752121248,4945.129683097845,97.91740195865246,0.9136499786050492,1.1591614557559944
58,58,Liberia,0.8459789062777827,1.1616262869085618,176.64177802614992,13888.392545887378,1740.0366022936862,1953.2192932193047,17502.060097249923,309.3784890699041,11.057516036382696,1.0282870829203834,1.7236956950192863
59,59,Madagascar,0.976275730749517,0.9208523188277064,1.717817100241387,119058.5299929504,117496.57026901108,38389.87828605168,110918.11329265454,131690.1049869741,22348.05922042408,1.0171006719151023,1.6788469499115644
60,60,Malawi,0.81677843264304,1.1303422717533094,7.860346223585078,12239.08005159,25805.641157100003,5387.319146790001,7939.34225318,11328.92799402,685.3793705200001,1.4882044305173767,2.0766467693451034
61,61,Maldives,0.3798143520133708,1.0391864752331197,1.1745113713633166,6.91142588851641,20.309796175230566,523.3220117187035,35.8977932244636,98.44606329488352,445.5657258654349,0.7897862232779098,1.8369602763385144
62,62,Mali,1.174867302573005,0.7772043046887697,0.9629047457323544,271204.9031560224,36011.09208257524,15095.080252753703,216902.25685664892,25132.36720431139,15676.608013052082,2.0801020408163264,4.278656263425586
64,64,Mauritania,1.0818969191538637,0.9054685419394376,4.530318404628029,22025.74558435148,8366.459775640957,1890.9720408512508,23379.943934006744,7317.901398726867,417.4037831247124,2.090162809213958,3.31569416498994
69,69,Mongolia,0.5905888999834606,0.6153200676542118,0.1142626892157158,300.591653430558,45.63562485096054,491.2881284835634,391.8367883170397,336.3644254744728,4299.637369430924,1.1946619950535862,1.24452
70,70,Montenegro,1.0077634152302863,0.3866298971474796,4.026196829856592,253.8809981664087,133.6896229658599,195.0320128192059,493.6831175050878,0.0,48.44075465286,0.8029389600602863,0.9239477503628448
72,72,Namibia,0.6220095693779905,0.9251968503937008,1.456140350877193,1200.0,1584.0,3984.0,1728.0,2304.0,2736.0,1.210061694337162,1.187206154722895
74,74,Nepal,1.1170149751708605,0.8682911694629051,1.7010342076436729,51361.27375164,32132.99933558,16363.45184346,23810.0322484,24662.5421684,9619.7076872,2.090263998806785,3.049340666785743
76,76,Niger,1.1895403780068732,0.5105648712737129,0.1486378205128205,529788.0,15582.0,1484.0,357120.0,29184.0,9984.0,1.4063356649399654,2.8152786569771857
77,77,Nigeria,0.9804970859665764,0.8599730941773333,0.744164938002583,1542541.6397711912,405601.7946680418,100275.85858198717,1495856.8398982794,345695.87667384866,134749.50707989297,1.4271014340257944,0.975769727473374
78,78,North Macedonia,0.2163878613018051,0.8864509182396814,3.420700787990516,208.69873982199405,0.0,1244.0258693843043,190.74416548086225,93.01554267918917,363.6757338589398,0.9689567430025444,0.947097452061991
80,80,Pakistan,1.178870399418348,0.7632394880944394,1.3016482161218197,2524145.7494930797,655811.6528555775,194208.10545671827,1487768.4057906014,540891.7819409524,149201.68372016004,4.904187404008788,8.839251914292168
82,82,Panama,1.2045454545454546,0.5570152390961639,0.848,848.0,4346.0,4664.0,550.0,6270.0,5500.0,1.015947640117994,1.6803993250843643
85,85,Peru,1.2107408295372812,0.8939914610017704,2.2426645519429025,5555.0,27775.0,14140.0,1940.0,23280.0,6305.0,1.058962602674062,1.3832541332541333
87,87,Rwanda,0.7896774193548387,1.1829175917461148,1.3805549289420258,6936.0,60384.0,6120.0,10075.0,44330.0,4433.0,1.08952353282975,1.643619579369641
88,88,Saint Lucia,0.0,0.8111111111111111,0.0,0.0,0.0,0.0,0.0,50.0,104.0,0.9513618677042802,0.6470358814352574
90,90,Senegal,0.9314510190437496,0.9587283848104298,5.163570436678967,150388.68721314205,15562.16854247874,6575.17303068093,157692.78746025704,8710.364144622401,1273.37723215215,1.6978136798665378,2.2425150901972475
91,91,Serbia,inf,1.4998078394053371,0.8922502353547244,0.0,199.03351935280511,4370.859539840867,0.0,0.0,4898.692504242581,0.7093973179879772,0.8800558204442378
93,93,Sierra Leone,1.0010364106252525,1.0394698711888857,1.3909589225992711,62424.06682258615,17138.549948598305,8157.436315735184,63349.24394325803,9732.816582407208,5864.613385197215,1.28821815335102,1.1811056307076233
95,95,South Africa,0.6315556047897927,0.6322197562221042,1.0147191066343972,10637.13916021698,28032.73401988048,30221.85970949468,9525.51407036032,19225.24253887616,29783.473585841923,0.9732420679251952,1.1158889740539235
97,97,Sudan,0.9238280908510462,0.8340564880284494,0.8751531059215203,188040.06093758403,58867.068233407816,55841.19513964694,163170.62467115253,43737.67828590558,63807.34383710742,1.7901982397530904,2.5425489221259183
98,98,Suriname,0.3328547574854504,0.8033802283486075,1.2232513893708197,163.9731219162261,185.18572331816912,209.7950759481732,395.46830396092,546.9099712946253,171.50610068473455,0.947756956274844,2.1698564593301435
100,100,Thailand,0.7824924826750987,0.6318914056290175,0.3846567746863001,3794.17675535842,36541.60672877856,85218.56940072028,14639.89786575294,140345.71779545324,221544.4391177531,1.0441842016943463,1.7895265122391064
101,101,Timor-Leste,0.6420001641186863,0.9713630508345108,1.2856921191787316,1878.33505128,663.0415831600001,516.5993968199999,2725.96540001,665.08277686,401.80645826,1.462243797195253,1.6406574118397956
102,102,Togo,1.5405074263244465,0.9092256614122786,2.0097170599706757,21032.346606615112,16263.136572008396,5717.786481345311,5743.003003857588,8618.47433059868,2845.070380916576,1.5863161552770908,2.041372957385453
103,103,Tonga,0.2676745055914138,0.3364093516419369,0.5985030460617954,11.064889421858409,68.92221517296917,192.6677363151354,31.023476311870017,42.37596767855464,321.91604968914805,0.7529610829103215,1.4335616438356165
104,104,Tunisia,0.4363457298804204,0.5932764584498169,0.5231938017939104,4212.31594797696,7280.347876091551,5699.097192112577,6475.0071504936,12789.95940554407,10892.898907769344,1.231318123349807,1.7429647181018533
105,105,Turkey,1.6892153073057596,1.050251256281407,0.9874157110338014,37240.0,77140.0,321860.0,22288.0,19502.0,325962.0,1.3603685416503786,1.786962306102152
107,107,Uganda,0.9866995580224072,0.9874942562994424,1.4927536231884058,37080.0,127720.0,61800.0,37260.0,90045.0,41400.0,1.3871328565862733,2.3460955384850184
109,109,Uruguay,0.2366666666666667,0.5944186046511628,0.6042553191489362,71.0,1562.0,2130.0,1875.0,5250.0,3525.0,0.9335708096659284,1.4789815447710182
112,112,Viet Nam,1.2145913311122762,0.5932319764590486,0.7868083990100027,45360.0,17010.0,137970.0,18351.0,28546.0,175354.0,0.9825128571693804,1.7263523655808506
113,113,Yemen,1.720900693346415,0.7407636443164077,1.1470035105315948,155043.0,71262.0,18297.0,51844.0,46859.0,15952.0,2.9424472231117083,2.8295251291094594
114,114,Zambia,0.8540355547723071,1.085923409901559,1.3432238693238567,24365.191305125583,63893.773580728,39993.498660298814,20618.88340993686,35391.05075635686,29774.261441937066,1.390117148603777,1.6811806043569923
115,115,Zimbabwe,0.584709182541801,0.9002505657818539,1.3973531388976366,3076.9868189268955,96479.41270839234,242335.78352418807,1491.8907543582322,101499.68917416106,173424.86790086958,1.3017543711390738,1.5665719078161484
