,Unnamed: 0,Total_Never entered primary,Total_Dropped out of primary,Total_Still attending primary,Total_Did not transition to lower secondary,Total_Dropped out of lower secondary,Total_Still attending lower secondary,Total_Did not transition to upper secondary,Total_Transitioned to upper secondary,Total_population_agerange,Total_Never entered primary_pop,Total_Dropped out of primary_pop,Total_Still attending primary_pop,Total_Did not transition to lower secondary_pop,Total_Dropped out of lower secondary_pop,Total_Still attending lower secondary_pop,Total_Did not transition to upper secondary_pop,Total_Transitioned to upper secondary_pop,primary_dur,lower secondary_dur,upper secondary_dur,GDP,Year,primary_return_rate,secondary_return_rate,increasemental_rate_of_salaries_Never_entered_primary,increasemental_rate_of_Dropped_out_of_primary,increasemental_rate_of_Still_in_primary,increasemental_rate_of_salaries_Did_not_transition_to_lower_secondary,increasemental_rate_of_salaries_Dropped_out_of_lower_secondary,increasemental_rate_of_salaries_Still_in_lower_secondary,increasemental_rate_of_Did_not_transition_to_upper_secondary,year_before_work_primary_full,year_before_work_primary_half,year_before_work_LS_full,year_before_work_LS_half,year_before_work_US_full,increasemental_rate_of_salaries_Never_entered_primary_longterm,increasemental_rate_of_salaries_Dropped_out_of_primary_longterm,increasemental_rate_of_salaries_Still_attending_primary_longterm,increasemental_rate_of_salaries_Did_not_transition_to_lower_secondary_longterm,increasemental_rate_of_salaries_Dropped_out_of_lower_secondary_longterm,increasemental_rate_of_salaries_Still_attending_lower_secondary_longterm,increasemental_rate_of_salaries_Did_not_transition_to_upper_secondary_longterm,Total_Never entered primary_return_in_money,Total_Dropped out of primary_return_in_money,Total_Still attending primary_return_in_money,Total_Did not transition to lower secondary_return_in_money,Total_Dropped out of lower secondary_return_in_money,Total_Still attending lower secondary_return_in_money,Total_Did not transition to upper secondary_return_in_money,all_return,GDP_total,%return per GDP,Economy,Income group,Code,benefit_poverty,benefit_revenue,HLO,HLO_average,total_pop,HLO_weighted_average,LAYS,benefit_lives,benefit_early_marriage
10,10,23.87657128,19.21161605,2.358775515,1.82554549,12.18925455,27.17122265,0.927280856,12.4397336,774.147,184839.7602669816,148726.14930259352,18260.38988610705,14132.405644470304,94362.7484211885,210345.20500829548,7178.51692829832,96301.824472392,6.0,4.0,3.0,1291.040972,,10.0,10.0,345.22712143931034,259.3742460100002,259.3742460100002,194.8717100000001,161.05100000000007,161.05100000000007,133.10000000000005,13.0,10.0,7.0,5.0,3.0,13.872862717185765,14.904227909976346,14.904227909976346,16.276974981580615,17.436179011744077,17.436179011744077,18.838815888241864,1655280178.8361044,1430891968.841802,175682927.03383404,148490893.31122327,1062091492.9458008,2367521681.5864472,87296807.20068096,6927255949.755893,15651545331.5404,44.259245991489095,Benin,Lower middle income,BEN,471101.2580642495,998217582.3598242,383.9228515625,387.4265555245537,12123198.0,387.2059768006016,3405497.077632814,52785.20470330862,90660.36163916145
11,11,19.9,8.6,2.7,2.0,3.9,36.3,2.0,24.5,28.009,5573.791,2408.774,756.2430000000002,560.1800000000001,1092.351,10167.267,560.1800000000001,6862.205,7.0,4.0,2.0,3000.779327,,10.0,10.0,345.22712143931034,247.303640184318,247.303640184318,177.1561000000001,146.41000000000005,146.41000000000005,121.0,13.0,9.5,6.0,4.0,2.0,13.872862717185765,14.403627039894936,14.403627039894936,16.828976900706074,18.10410133388589,18.10410133388589,19.64700189803345,116016786.54682451,52056142.8863032,16343207.650351008,14144557.878033848,29671755.79256872,276175573.14621645,16513074.865823582,520921098.7661213,2315437338.08809,22.49774114795341,Bhutan,Lower middle income,BTN,35426.23323880197,75064730.33219808,386.739410400391,387.4265555245537,771612.0,387.2059768006016,90574.5409085283,1403.9053840821887,2411.2546412097017
12,12,0.5,4.4,3.2,2.7,2.4,14.3,2.8,69.7,918.993,4594.965,40435.692,29407.776,24812.811000000005,22055.832,131415.99900000004,25731.804,640538.121,6.0,3.0,3.0,3133.099803,2012.0,8.57746696472168,3.103366613388061,196.8227577699306,153.76454081097512,153.76454081097512,120.1260173300049,114.74342497820577,114.74342497820577,109.60201518676784,12.0,9.0,6.0,4.5,3.0,10.173592956834364,11.576736655673498,11.576736655673498,13.366098241716765,14.343192707612804,14.343192707612804,16.939741629806925,73231983.78871915,733322934.5115744,533325770.5538723,519547010.2949919,495579704.1846883,2952829070.767102,682843611.1236613,5990680085.224609,36572764862.8234,16.38016733953357,Bolivia,Lower middle income,BOL,407407.6294104897,863257000.2808663,,387.4265555245537,11673029.0,387.2059768006016,953376.3576420455,14777.333543451705,25380.566593272455
13,13,0.4,0.0,0.0,0.0,2.2,1.1,0.0,96.3,128.368,513.4720000000001,0.0,0.0,0.0,2824.0960000000005,1412.0480000000002,0.0,123618.384,5.0,4.0,4.0,6079.738285,,10.0,10.0,345.2271214393103,272.0340042027498,272.0340042027498,214.3588810000001,177.1561000000001,177.1561000000001,146.41000000000005,13.0,10.5,8.0,6.0,4.0,13.872862717185765,14.026602301744909,14.026602301744909,15.775155055102912,16.828976900706074,16.828976900706074,18.10410133388589,21653980.61725519,0.0,0.0,0.0,144474785.6839797,72237392.84198985,0.0,238366159.14322472,19946496562.9733,1.195027700181214,Bosnia and Herzegovina,Upper middle income,BIH,12748.691476756332,36827571.587628216,416.134063720703,413.0976530930093,3280815.0,414.28287809164107,20454.101728795307,317.0385767963273,701.8943232944102
14,14,2.3,1.2,1.1,0.9,5.7,25.5,1.8,61.5,9577.976,220293.448,114935.712,105357.73600000002,86201.78400000001,545944.6320000001,2442383.8800000004,172403.56800000003,5890455.24,5.0,4.0,3.0,6796.844542,2012.0,7.923233509063721,6.348732948303223,225.26876828122167,186.171677650248,186.171677650248,153.86018143375756,136.03842655530374,136.03842655530374,120.28098060972631,12.0,9.5,7.0,5.0,3.0,11.148579289964598,11.86831820152437,11.86831820152437,14.01313073409716,15.76553339795167,15.76553339795167,17.802800675195243,8346385667.405083,4635766079.262445,4249452239.323908,4105147525.012473,29250588634.959515,130857896524.81888,10430663142.568151,191875899813.35043,1444733258971.65,13.281060612526236,Brazil,Upper middle income,BRA,10262222.86476332,29644826521.162643,413.244750976563,413.0976530930093,212559409.0,414.28287809164107,13256143.789458523,205470.2287366071,454892.2361863795
15,15,54.6,13.0,2.1,4.3,3.6,16.2,0.2,5.9,1382.987,755110.9020000001,179788.31000000003,29042.727000000003,59468.441,49787.53200000001,224043.89400000003,2765.974,81596.23300000001,6.0,4.0,3.0,857.9327297,,10.0,10.0,345.22712143931034,259.3742460100002,259.3742460100002,194.8717100000001,161.05100000000007,161.05100000000007,133.10000000000005,13.0,10.0,7.0,5.0,3.0,13.872862717185765,14.904227909976346,14.904227909976346,16.276974981580615,17.436179011744077,17.436179011744077,18.838815888241864,4493658551.698183,1149460822.653692,185682132.89021176,415224996.3118269,372387554.677582,1675743996.049119,22352439.89879513,8314510494.17941,17933606353.1775,46.36273558389015,Burkina Faso,Low income,BFA,402243.7293834803,1003561416.6474549,403.654327392578,355.40796770368314,20903278.0,350.4277624474908,7385122.892690467,114469.40483670223,104347.98682798802
16,16,6.4,26.9,4.3,10.4,8.5,31.0,1.0,11.6,700.329,44821.056,188388.501,30114.147,72834.216,59527.965,217101.99,7003.29,81238.16399999999,6.0,3.0,3.0,238.9907259,1998.0,12.878266334533691,21.26253128051757,657.6907915784642,457.2890156629909,457.2890156629909,317.9506943439992,238.10572259959244,238.10572259959244,178.31171984589213,12.0,9.0,6.0,4.5,3.0,25.969833844869072,25.42352116971151,25.42352116971151,25.378054391547664,22.58283593681533,22.58283593681533,22.49276383404853,139092050.0552896,572322926.5282555,91486564.46362448,220874116.9979677,160638843.30214974,585859310.8666636,18823309.64610579,1789097121.8600564,2841786382.19063,62.95677722548964,Burundi,Low income,BDI,86553.87458227813,215944022.60850883,422.747802734375,355.40796770368314,11890781.0,350.4277624474908,2268198.395562901,35157.07513122497,32048.476341229274
17,17,3.8,20.2,1.5,8.7,17.3,11.5,6.4,30.6,880.748,33468.424,177911.096,13211.22,76625.07599999999,152369.40400000004,101286.02,56367.872,269508.88800000004,6.0,3.0,3.0,1543.669258,2012.0,12.76830005645752,2.983049392700196,245.31080991467985,171.06280355012225,171.06280355012225,119.28737575243969,114.1421012808179,114.1421012808179,109.2187601799433,12.0,9.0,6.0,4.5,3.0,11.835519789859736,12.36588328621446,12.36588328621446,13.315175748086585,14.303028955580984,14.303028955580984,16.908767496337113,305736196.09027046,1698057678.204631,126093391.94588847,787484620.8972995,1682093165.6631217,1118154416.4812655,735644261.7963305,6453263731.078809,25808561550.9514,25.00435259957724,Cambodia,Lower middle income,KHM,438866.51285618375,929915303.6484565,451.889587402344,387.4265555245537,16718971.0,387.2059768006016,2318485.386748037,35936.52349459457,61722.18587360997
18,18,9.351361353,8.782605887,4.176956964,5.186918917,9.314785205,28.25666333,1.498729761,33.43197859,1713.741,160258.11356451572,150511.11795393267,71582.22404442324,88890.35611738497,159631.29312001902,484246.0247181752,25684.34639345901,572937.5242080519,6.0,4.0,3.0,1537.130218,2007.0,11.070233345031738,8.85669994354248,340.0730806291369,248.187099037196,248.187099037196,181.12823283320293,152.85365270399595,152.85365270399595,128.99280680593526,13.0,10.0,7.0,5.0,3.0,13.712267602568392,14.440266482588932,14.440266482588932,15.51833240442772,16.888659887609087,16.888659887609087,18.50687828034643,1688923470.741893,1670415280.189766,794439922.1748494,1060181840.3820114,2072019728.2750945,6285530217.439665,365327488.87160736,13936837948.074884,40804449726.0184,34.155191508901176,Cameroon,Lower middle income,CMR,947801.2561390944,2008298348.317591,378.868835449219,387.4265555245537,26545864.0,387.2059768006016,4898430.235354282,75925.66864799138,130404.88553586266
19,19,14.32020415,22.46504824,19.84054015,6.166541556,5.742579418,26.62012004,0.104846024,4.740120427,359.484,51478.84268658601,80758.2540150816,71323.567352826,22167.73024717104,20643.65419500312,95695.0723245936,376.9046809161599,17039.97451579668,6.0,4.0,3.0,492.7958712,,10.0,10.0,345.22712143931034,259.3742460100002,259.3742460100002,194.8717100000001,161.05100000000007,161.05100000000007,133.10000000000005,13.0,10.0,7.0,5.0,3.0,13.872862717185765,14.904227909976346,14.904227909976346,16.276974981580615,17.436179011744077,17.436179011744077,18.838815888241864,175967282.9452332,296574269.14547974,261926599.55925363,88906187.84741335,88690062.20670038,411128855.24876016,1749533.2382467326,1324942790.191087,2380087758.04137,55.66781248778043,Central African Republic,Low income,CAF,64098.774007118,159920594.77606422,368.730163574219,355.40796770368314,4829764.0,350.4277624474908,1578564.731837197,24467.753343476557,22304.30748930506
20,20,43.2782222,11.69343178,10.06158827,3.325386551,5.437900836,19.6183634,0.271081579,6.314025382,1112.97,481673.62961934,130144.387681866,111982.458968619,37010.55469666471,60522.2049344292,218346.49913298,3017.0566497963,70273.20829404538,6.0,4.0,3.0,659.270045,2003.0,1.0995266437530518,7.408037185668945,176.09709617288183,170.41382637722842,170.41382637722842,164.91397559456362,142.94991484591745,142.94991484591745,123.9111365836764,13.0,10.0,7.0,5.0,3.0,8.602928544509465,11.214797229022455,11.214797229022455,14.623302293135431,16.227167128803934,16.227167128803934,18.096184802346016,1365942864.5808396,481116462.72916585,413975627.4269441,178403922.8349173,323735852.53790784,1167944725.7757034,17997154.09404813,3949116609.979526,10829076801.729,36.46771264332523,Chad,Low income,TCD,191052.4250441983,476658374.8245288,333.111328125,355.40796770368314,16425859.0,350.4277624474908,5577459.065510529,86450.6155154132,78806.62699297456
21,21,0.787515899,2.134075658,0.632183812,3.604593107,6.760065581,19.77748714,1.798513654,64.50556515,1659.331,13067.495442035688,35411.378956647975,10490.02196949772,59812.13084831417,112171.86380586312,328173.9751350334,29843.29460005473,1070360.8392591462,5.0,4.0,2.0,5334.556042,2012.0,6.000699996948242,5.270533561706543,182.13130988855272,157.43916508465335,157.43916508465335,136.09461611910717,122.80818039199524,122.80818039199524,110.81885236366384,11.0,8.5,6.0,4.0,2.0,10.63704832346567,11.744372990478071,11.744372990478071,14.335714931222949,16.370041296357318,16.370041296357318,18.741893178869407,370750525.9521295,1109279432.9535737,328605266.57944226,2287056624.9514227,4897810718.42184,14329208398.50978,1491861514.6069472,24814572481.975136,271437596293.843,9.141906950543536,Colombia,Upper middle income,COL,1327173.8313752187,3833851448.4651594,419.027526855469,413.0976530930093,50882884.0,414.28287809164107,1729692.8957377211,26810.23988393468,59355.41147973364
22,22,10.5,8.1,3.1,3.9,6.3,29.5,1.4,37.3,53.698,5638.29,4349.538,1664.638,2094.222,3382.974,15840.91,751.7719999999999,20029.354000000003,6.0,4.0,3.0,1420.661747,2004.0,2.222473382949829,5.386663436889648,164.731970703316,154.21930409099951,154.21930409099951,144.37752218205827,129.9954867142194,129.9954867142194,117.0461046197869,13.0,10.0,7.0,5.0,3.0,8.248801812756966,10.543166321335129,10.543166321335129,13.489686123562077,15.361911956829635,15.361911956829635,17.541362523347274,33036875.749589138,32574283.97874784,12466701.275817076,20067129.49955316,36915148.75353409,172856648.9252787,9367207.946348354,317283996.1288684,1235400352.2931,25.68268622717637,Comoros,Lower middle income,COM,21577.503534459356,45720623.84216994,392.225524902344,387.4265555245537,869595.0,387.2059768006016,146824.824967501,2275.784786996265,3908.736793987481
23,23,2.4,10.0,2.5,1.0,7.9,36.7,1.0,38.5,343.1,8234.400000000001,34310.0,8577.5,3431.0000000000005,27104.9,125917.70000000004,3431.0000000000005,132093.5,6.0,4.0,3.0,1846.131297,,10.0,10.0,345.22712143931034,259.3742460100002,259.3742460100002,194.8717100000001,161.05100000000007,161.05100000000007,133.10000000000005,13.0,10.0,7.0,5.0,3.0,13.872862717185765,14.904227909976346,14.904227909976346,16.276974981580615,17.436179011744077,17.436179011744077,18.838815888241864,105446128.13675085,472022597.28622526,118005649.32155631,51549802.19824608,436246260.9489454,2026612376.813456,59663250.31444749,3269546065.019627,,,Congo,Lower middle income,COG,222351.71844401685,471141587.9693283,370.614074707031,387.4265555245537,5518092.0,387.2059768006016,795467.142356915,12329.740706532184,21176.74370411662
24,24,0.200326721,0.495768115,0.201855928,3.059070043,5.532161587,39.97111838,0.388449745,50.15124948,142.732,285.93033541772,707.6197459018001,288.11300315295995,4366.2718537747605,7896.16487635684,57051.57668614159,554.4420900334001,71581.88140779358,6.0,3.0,2.0,12140.85415,2009.0,4.188499927520752,4.856133460998535,162.13915578027397,143.36018464799787,143.36018464799787,126.7561955864608,118.05338305633592,118.05338305633592,109.94808724390737,11.0,8.0,5.0,3.5,2.0,9.883294656692788,12.21229899676555,12.21229899676555,15.145552471615051,16.02069941580512,16.02069941580512,18.66448175823321,17154624.785916332,52458590.59033167,21358932.05875788,401434911.0614493,767921675.8895617,5548407748.189958,62819051.38377398,6871555533.959748,61846895120.7808,11.11059095293351,Costa Rica,Upper middle income,CRI,367515.8494927676,1061655329.9967812,428.555694580078,413.0976530930093,5094114.0,414.28287809164107,166585.33435119706,2582.0726824435537,5716.472034584583
25,25,0.279056701,0.140238224,0.014636671,1.097698231,2.019052949,5.459703073,12.42304518,78.58727067,378.572,1056.4305341097202,530.9026493612799,55.41033813812,4155.578147061321,7643.569130088281,20668.907117517563,47030.1705988296,297509.4023208324,6.0,3.0,3.0,9477.852873,,10.0,10.0,313.8428376721004,235.7947691000002,235.7947691000002,177.1561000000001,153.55610346059197,153.55610346059197,133.10000000000005,12.0,9.0,6.0,4.5,3.0,14.184453409871749,15.318955121941382,15.318955121941382,16.828976900706074,16.935578141662667,16.935578141662667,18.838815888241864,71012289.90872179,38541090.93838213,4022535.739230272,331412691.05399776,613445792.2957361,1658813296.0924888,4198654347.5418167,6915902043.570374,107352000000.0,6.442266602923443,Cuba,Upper middle income,CUB,369887.6625518402,1068506865.7316228,,413.0976530930093,11326616.0,414.28287809164107,198463.2370418418,3076.1801741485483,6810.380690841813
26,26,29.243734,13.89978184,2.717805245,5.93556349,5.319423063,24.88652535,1.863336936,16.13383007,1747.294,510974.00955796,242870.0541034096,47488.04797757031,103711.7447269606,92945.96001441524,434840.764249029,32557.97448251184,281905.4447833058,6.0,4.0,3.0,,2008.0,12.591800689697266,12.106266975402832,453.3669194977196,317.63586477114615,317.63586477114615,222.5405918470885,177.07182208050313,177.07182208050313,140.89308343555376,13.0,10.0,7.0,5.0,3.0,17.242398175579893,17.32049578131432,17.32049578131432,17.80430256954544,18.506245480407102,18.506245480407102,19.468641988817176,,,,,,,,0.0,,,Côte d'Ivoire,Lower middle income,CIV,0.0,0.0,373.230529785156,387.4265555245537,26378275.0,387.2059768006016,7749381.309553368,120115.4102980772,206302.2507399192
27,27,5.834717033,8.943697425,16.64686476,4.66986701,3.041875239,23.96144263,1.053948346,35.84758756,8049.578,469670.0986506208,719929.9003093665,1340002.363410713,375904.5874662178,244858.1200259914,1928795.0144271017,84838.39419097989,2885579.521760497,6.0,2.0,4.0,543.9503925,,10.0,10.0,313.84283767210025,235.7947691000002,235.7947691000002,177.1561000000001,161.05100000000004,161.05100000000004,146.41000000000005,12.0,9.0,6.0,5.0,4.0,14.184453409871738,15.318955121941382,15.318955121941382,16.828976900706074,17.436179011744077,17.436179011744077,18.10410133388589,1811902465.070297,2999498532.8007245,5582953453.208094,1720539465.714656,1161168186.7220852,9146747550.0636,417732928.1917727,22840542581.77124,,,Democratic Republic of the Congo,Low income,COD,1104991.6932170033,2756853489.619788,310.197143554688,355.40796770368314,89561404.0,350.4277624474908,20291642.682309154,314520.4615757919,286710.4710508683
