,Country,U.S. dollars,all_return,Minimal wages:,all_return,%return per GDP,50% GDP,all_return,return per GDP
25,Cuba,,0,,0,0,,6915902044,6.442266603
26,Côte d'Ivoire,108.02,33815387655,,33815387655,,,0,
27,Democratic Republic of the Congo,,0,,0,,,22840542582,
28,Dominican Republic,,0,,0,0,,14836304968,18.81712345
29,Egypt,101.89,30490047933,,30490047933,,,44502767553,
30,Eswatini,31.74,251002237.5,,251002237.5,6.31813146,,1128311407,28.40141931
31,Ethiopia,24.85,23129156833,,23129156833,21.48650208,,36312483860,33.73353666
32,Gabon,256.01,5403680062,,5403680062,35.27937181,,6052268006,39.51385183
33,Georgia,7.1,26025487.12,,26025487.12,0.164235031,,651659074.6,4.1123245
34,Ghana,72.4,20413891073,,20413891073,29.78726307,,25911273648,37.80885878
35,Guinea,,0,,0,0,,7203386573,45.93688657
36,Guinea-Bissau,32.48,735907998.8,,735907998.8,51.39890079,,686817417.9,47.97020875
37,Guyana,170.4,262697137.7,,262697137.7,4.801404086,,446817616,8.166636097
38,Haiti,160.4,21201632367,,21201632367,146.1353306,,7007553616,48.30058115
39,Honduras,,0,,0,0,,5284425303,22.33274268
40,India,51.03,2.52E+11,,2.51507E+11,9.454295309,,3.95872E+11,14.88104957
41,Indonesia,111.04,1.02E+11,,1.01746E+11,9.612958939,,1.47738E+11,13.95825628
42,Iraq,338.41,85196498750,,85196498750,51.09021314,,43489284010,26.07943779
43,Jamaica,235.2,918846331.9,,918846331.9,6.652317239,,759280488.8,5.497083146
44,Jordan,211.27,4198093224,,4198093224,9.607135237,,3545906934,8.114638154
45,Kazakhstan,102.92,12636880.07,,12636880.07,0.00738643,,46669164.49,0.027278767
46,Kenya,159.36,1.21E+11,,1.20798E+11,119.5857081,,59333363287,58.73792139
47,Kiribati,,0,,0,0,,40258104.73,20.38294494
48,Kyrgyzstan,23.97,173243066.1,,173243066.1,,,0,
49,Lao People's Democratic Republic,126.74,6630161065,,6630161065,,,5732020685,
50,Lebanon,447.76,18616745129,,18616745129,58.66273002,,8054858582,25.38145047
51,Lesotho,110.71,1561235673,,1561235673,83.25579454,,514344159.7,27.42835846
52,Liberia,,0,,0,0,,1417657505,44.28535887
53,Madagascar,48.95,14431630640,,14431630640,110.5357095,,5791957035,44.36214425
54,Malawi,22.62,3628211824,,3628211824,29.78253257,,4256041485,34.93613391
55,Maldives,242.19,202433579,,202433579,5.40865671,,241145296.9,6.442963341
56,Mali,67.5,20705498596,,20705498596,118.5515762,,11023160352,63.11429926
57,Mauritania,1067.17,41633829725,,41633829725,526.0994696,,2766679250,34.96071573
58,Moldova,,0,,0,0,,825054696.7,6.924186347
59,Mongolia,149.29,347723639.9,,347723639.9,2.611914074,,394112269.1,2.960360654
60,Montenegro,378.44,235997022.5,,235997022.5,4.947671122,,199479559.3,4.182083506
61,Mozambique,111.91,38501352340,,38501352340,274.628189,,6429854865,45.8638279
62,Namibia,,0,,0,0,,2770377281,26.0883938
63,Nepal,85.94,20404267781,,20404267781,60.62382669,,11427470773,33.9525542
64,Niger,60.84,31957045435,,31957045435,232.5606965,,12424016916,90.4131777
65,Nigeria,114.42,1.60E+11,,1.59909E+11,36.9908724,,1.22118E+11,28.24873276
66,North Macedonia,389.83,572471126.7,,572471126.7,4.668009281,,362066154.2,2.952337837
67,Pakistan,116.64,2.69E+11,,2.68714E+11,102.324282,,1.1412E+11,43.45608318
68,Panama,,0,,0,0,,7663602152,14.19789336
69,Peru,278.67,13122070411,,13122070411,6.495612572,,12020980478,5.950557303
70,Rwanda,72.55,18672319490,,18672319490,180.6883581,,8556060871,82.79531591
71,Saint Lucia,,0,,0,,,46101215.97,
72,Sao Tome and Principe,,0,,0,0,,133081663.7,28.14074683
73,Senegal,93.87,13921586411,,13921586411,56.49023652,,9095123539,36.90568479
74,Serbia,392.6,1611230374,,1611230374,3.020961615,,1320207286,2.475310546
75,Sierra Leone,55.49,4040387315,,4040387315,99.43636468,,1545382598,38.03279627
76,South Africa,242.24,45973056416,,45973056416,13.70521358,,44724502342,13.33300208
77,South Sudan,,0,,0,0,,6039053934,50.33467429
78,State of Palestine,,0,,0,,,0,
79,Sudan,89.35,31099879871,,31099879871,145.8095559,,8635971868,40.48913462
80,Suriname,,0,,0,0,,859085504.8,29.7854238
81,Tajikistan,46.79,326160077,,270115473,3.296442743,,249533824.4,3.045267847
82,Tanzania,,0,,0,0,,25502252129,40.86263579
