,Country,Total_Never entered primary,Total_Dropped out of primary,Total_Still attending primary,Total_Did not transition to lower secondary,Total_Dropped out of lower secondary,Total_Still attending lower secondary,Total_Did not transition to upper secondary,Total_Transitioned to upper secondary,Total_population_agerange,Total_Never entered primary_pop,Total_Dropped out of primary_pop,Total_Still attending primary_pop,Total_Did not transition to lower secondary_pop,Total_Dropped out of lower secondary_pop,Total_Still attending lower secondary_pop,Total_Did not transition to upper secondary_pop,Total_Transitioned to upper secondary_pop,primary_dur,lower secondary_dur,upper secondary_dur,GDP,Year,primary_return_rate,secondary_return_rate,increasemental_rate_of_salaries_Never_entered_primary,increasemental_rate_of_Dropped_out_of_primary,increasemental_rate_of_Still_in_primary,increasemental_rate_of_salaries_Did_not_transition_to_lower_secondary,increasemental_rate_of_salaries_Dropped_out_of_lower_secondary,increasemental_rate_of_salaries_Still_in_lower_secondary,increasemental_rate_of_Did_not_transition_to_upper_secondary,year_before_work_primary_full,year_before_work_primary_half,year_before_work_LS_full,year_before_work_LS_half,year_before_work_US_full,increasemental_rate_of_salaries_Never_entered_primary_longterm,increasemental_rate_of_salaries_Dropped_out_of_primary_longterm,increasemental_rate_of_salaries_Still_attending_primary_longterm,increasemental_rate_of_salaries_Did_not_transition_to_lower_secondary_longterm,increasemental_rate_of_salaries_Dropped_out_of_lower_secondary_longterm,increasemental_rate_of_salaries_Still_attending_lower_secondary_longterm,increasemental_rate_of_salaries_Did_not_transition_to_upper_secondary_longterm,Total_Never entered primary_return_in_money,Total_Dropped out of primary_return_in_money,Total_Still attending primary_return_in_money,Total_Did not transition to lower secondary_return_in_money,Total_Dropped out of lower secondary_return_in_money,Total_Still attending lower secondary_return_in_money,Total_Did not transition to upper secondary_return_in_money,all_return,GDP_total,%return per GDP
74,Serbia,0.0,0.300467549,0.0,0.04626706,0.505433142,2.207655049,2.269115429,94.67106177,409.183,0.0,1229.4621310246698,0.0,189.31694411979998,2068.1464934298597,9033.34915914967,9284.83458584507,387377.8906823391,4.0,4.0,4.0,7720.510572,2008.0,37.65433120727539,6.167335510253906,579.5446042611508,305.8490284517453,305.8490284517453,161.4088501852818,143.20082098458806,143.20082098458806,127.04678279487513,12.0,10.0,8.0,6.0,4.0,23.291375134802404,16.83166360485099,16.83166360485099,13.118016998059579,14.767205190801803,14.767205190801803,16.681457583909737,0.0,79883709.85780793,0.0,9586800.752506722,117895067.04810677,514947711.9586006,597893996.7285749,1320207286.3455968,53335016425.4148,2.4753105461058817
75,Sierra Leone,17.70581351,5.699131046,7.800374271,3.899201384,4.84286755,29.32748309,2.010632333,28.71449682,709.802,125676.2184102502,40452.54614712892,55367.21258304342,27676.60940765968,34374.770727251,208167.06152248182,14271.508512280661,203816.07271829643,6.0,3.0,4.0,509.376594,2011.0,5.50736665725708,4.351700305938721,185.86320039585522,158.2504887512122,158.2504887512122,134.74005148227292,126.40009902350478,126.40009902350478,118.57636135202031,13.0,10.0,7.0,5.5,4.0,8.907231262477437,10.710350518839746,10.710350518839746,12.957695891382388,13.747061806628572,13.747061806628572,16.059123392350283,285104992.30298936,110346493.15943298,151030734.19237158,91337612.9264942,120353489.02639942,728837796.574517,58371480.068350285,1545382598.250555,4063289449.58795,38.03279627069809
76,South Africa,0.688548953,2.14382871,2.659261302,1.611151639,1.759658752,18.53801527,2.050412372,70.549123,2925.404,20142.838613020118,62715.650835488406,77794.13649916007,47132.69449337156,51477.12751735808,542311.8402291908,59982.84554698288,2063846.86620692,7.0,2.0,3.0,5655.867654,2011.0,8.879499435424805,12.272750854492188,323.5896537075504,240.26096815115844,240.26096815115844,178.39053923863156,158.89032546270232,158.89032546270232,141.52171765046307,12.0,8.5,5.0,4.0,3.0,14.5185252974683,15.522703092803836,15.522703092803836,18.594325543057646,19.021049009940572,19.021049009940572,19.519447326593777,827013162.3222617,2753040035.5942936,3414942992.1164765,2478403086.929908,2768968480.922834,29171099182.24428,3311035402.0006685,44724502342.13073,335442101366.417,13.333002076944522
77,South Sudan,47.0,8.0,28.3,1.4,0.9,8.3,0.5,5.7,761.943,358113.20999999996,60955.44,215629.869,10667.201999999997,6857.487000000001,63241.269,3809.715,43430.751000000004,6.0,2.0,4.0,1119.651437,,10.0,10.0,313.84283767210025,235.7947691000002,235.7947691000002,177.1561000000001,161.05100000000004,161.05100000000004,146.41000000000005,12.0,9.0,6.0,5.0,4.0,14.184453409871738,15.318955121941382,15.318955121941382,16.828976900706074,17.436179011744077,17.436179011744077,18.104101333885886,2843713192.6110525,522750504.4146395,1849229909.3667872,100498847.10671544,66937449.15048293,617312031.0544536,38612000.74078234,6039053934.444914,11997800760.2242,50.33467428852406
78,State of Palestine,0.738936002,0.0,0.0,0.23585281,13.21204083,4.922314454,4.281131813,76.60972409,206.864,1528.59257117728,0.0,0.0,487.8945568784,27330.956142571198,10182.496572122562,8856.12051364432,158477.9396415376,6.0,3.0,3.0,,,10.0,10.0,313.84283767210036,235.7947691000002,235.7947691000002,177.1561000000001,153.55610346059197,153.55610346059197,133.10000000000005,12.0,9.0,6.0,4.5,3.0,14.184453409871747,15.318955121941382,15.318955121941382,16.828976900706074,16.935578141662667,16.935578141662667,18.838815888241864,,,,,,,,0.0,,
79,Sudan,11.61155726,10.24734731,6.684971891,3.382237073,4.757080713,19.22544284,3.976731123,40.11463179,3014.881,350074.6336358606,308945.3270532011,201543.9473970997,101970.42288883313,143420.3225709015,579624.2233490204,119893.71104841362,1209408.4120566698,6.0,3.0,3.0,595.467833,,10.0,10.0,313.84283767210036,235.7947691000002,235.7947691000002,177.1561000000001,153.55610346059197,153.55610346059197,133.10000000000005,12.0,9.0,6.0,4.5,3.0,14.184453409871747,15.318955121941382,15.318955121941382,16.828976900706074,16.935578141662667,16.935578141662667,18.838815888241864,1478432695.735128,1409091142.2821681,919236402.656228,510928636.93278456,723167720.0096484,2922636907.7119803,672478362.5088762,8635971867.836813,21329109521.8077,40.48913462142929
80,Suriname,1.799561365,5.012438343,0.989630676,2.353538863,14.89969977,43.05802194,1.231209785,30.65589925,30.421,547.44456284665,1524.8338683240302,301.05554794596,715.9700575132299,4532.6376670316995,13098.6808543674,374.54632869484993,9325.8311108425,6.0,4.0,3.0,4916.605666,1999.0,3.821533441543579,9.363349914550781,234.32966264015337,209.39434558251833,209.39434558251833,187.11242728694955,156.44404024794645,156.44404024794645,130.802310054839,13.0,10.0,7.0,5.0,3.0,10.41740111675139,12.831425434118392,12.831425434118392,15.84866108671652,17.128469886183524,17.128469886183524,18.65311980139008,14019577.159016704,48098642.1021641,9496354.55660441,27894772.26580064,190855620.3452503,551545709.984336,17174828.3639927,859085504.7771649,2884248048.49068,29.785423803154593
81,Tajikistan,1.278392909,0.093532054,0.430147958,0.053143746,1.068811016,2.516035843,6.134907641,88.42502883,321.65,4111.9507917985,300.84585169099995,1383.5709069069999,170.93685900899996,3437.830632964,8092.829289009501,19732.9304272765,284419.10523169505,4.0,5.0,2.0,859.1379611,2003.0,9.203866958618164,2.068666696548462,164.134229486264,137.63317429840512,137.63317429840512,115.41097019644188,109.65185614816772,109.65185614816772,104.180127212111,11.0,9.0,7.0,4.5,2.0,9.95851387085187,10.840823823189629,10.840823823189629,11.890726894911317,14.003115459982418,14.003115459982418,18.15170745193238,17590385.387901932,1401003.5226232475,6443125.951315009,873126.2334977218,20679596.470099963,48680828.65787734,153865758.2260329,249533824.44934812,8194150301.78552,3.0452678466853884
82,Tanzania,7.6,11.3,0.6,42.8,7.5,8.0,13.2,8.9,2421.656,184045.856,273647.128,14529.936,1036468.7679999999,181624.2,193732.48,319658.592,215527.38400000002,6.0,3.0,3.0,1076.470385,2012.0,22.215002059936523,15.281498908996582,782.1765729539175,428.48068136262924,428.48068136262924,234.72410277851634,189.6348994615557,189.6348994615557,153.20708298852125,12.0,9.0,6.0,4.5,3.0,30.236581038185644,24.109285151479494,24.109285151479494,20.324518182241757,19.345361462167094,19.345361462167094,20.463842205145994,2995234409.396134,3550972579.848365,188547216.62911668,11338316337.759472,1891135529.0390844,2017211230.9750233,3520834824.9089775,25502252128.55617,62409709110.9538,40.86263578511082
83,Thailand,0.677764871,0.662478016,0.085175017,6.504573225,2.355548198,14.45904846,11.43769008,63.81772212,2577.813,17471.510954071233,17077.44441859008,2195.6526609782104,167675.73418856927,60721.627669309746,372727.23087817983,294842.2617819504,1645101.5371132356,6.0,3.0,3.0,7186.874092,2011.0,3.2461166381835938,5.351924896240234,165.61406013782093,150.4790453411008,150.4790453411008,136.72717804228222,126.44193626015814,126.44193626015814,116.93039726362097,12.0,9.0,6.0,4.5,3.0,9.103915588402582,11.426852374297576,11.426852374297576,14.374124224734363,15.124562389717171,15.124562389717171,17.532011216698947,571569081.3833289,701228466.4154627,90157175.189676,8660872619.590935,3300169627.42211,20257412949.406536,18575115150.198498,52156525069.60655,501643653514.925,10.397126466996115
