,Country,Total_Never entered primary,Total_Dropped out of primary,Total_Still attending primary,Total_Did not transition to lower secondary,Total_Dropped out of lower secondary,Total_Still attending lower secondary,Total_Did not transition to upper secondary,Total_population_agerange,Total_Never entered primary_pop,Total_Dropped out of primary_pop,Total_Still attending primary_pop,Total_Did not transition to lower secondary_pop,Total_Dropped out of lower secondary_pop,Total_Still attending lower secondary_pop,Total_Did not transition to upper secondary_pop,primary_dur,lower secondary_dur,upper secondary_dur,Reference area,U.S. dollars,Year,primary_return_rate,secondary_return_rate,increasemental_rate_of_salaries_Never_entered_primary,increasemental_rate_of_Dropped_out_of_primary,increasemental_rate_of_Still_in_primary,increasemental_rate_of_salaries_Did_not_transition_to_lower_secondary,increasemental_rate_of_salaries_Dropped_out_of_lower_secondary,increasemental_rate_of_salaries_Still_in_lower_secondary,increasemental_rate_of_Did_not_transition_to_upper_secondary,year_before_work_primary_full,year_before_work_primary_half,year_before_work_LS_full,year_before_work_LS_half,year_before_work_US_full,increasemental_rate_of_salaries_Never_entered_primary_longterm,increasemental_rate_of_salaries_Dropped_out_of_primary_longterm,increasemental_rate_of_salaries_Still_attending_primary_longterm,increasemental_rate_of_salaries_Did_not_transition_to_lower_secondary_longterm,increasemental_rate_of_salaries_Dropped_out_of_lower_secondary_longterm,increasemental_rate_of_salaries_Still_attending_lower_secondary_longterm,increasemental_rate_of_salaries_Did_not_transition_to_upper_secondary_longterm,Total_Never entered primary_return_in_money,Total_Dropped out of primary_return_in_money,Total_Still attending primary_return_in_money,Total_Did not transition to lower secondary_return_in_money,Total_Dropped out of lower secondary_return_in_money,Total_Still attending lower secondary_return_in_money,Total_Did not transition to upper secondary_return_in_money,all_return,GDP_total,%return per GDP
10,Benin,23.87657128,19.21161605,2.358775515,1.82554549,12.18925455,27.17122265,0.927280856,774.147,184839.7602669816,148726.14930259352,18260.389886107052,14132.405644470304,94362.7484211885,210345.20500829548,7178.51692829832,6.0,4.0,3.0,Benin,64.01,,10.0,10.0,345.22712143931034,259.3742460100002,259.3742460100002,194.87171000000012,161.05100000000007,161.05100000000007,133.10000000000005,13.0,10.0,7.0,5.0,3.0,13.872862717185765,14.904227909976346,14.904227909976346,16.276974981580615,17.436179011744077,17.436179011744077,18.838815888241864,1969656794.079791,1702651988.5021355,209049244.5087616,176692804.40189907,1263807633.1500478,2817169700.2659993,103876522.90091234,8242904687.809546,15651545331.5404,52.66511717024361
11,Bhutan,19.9,8.6,2.7,2.0,3.9,36.3,2.0,28.009,5573.791,2408.774,756.2430000000002,560.1800000000001,1092.351,10167.267,560.1800000000001,7.0,4.0,2.0,Bhutan,62.82,,10.0,10.0,345.22712143931034,247.303640184318,247.303640184318,177.1561000000001,146.41000000000005,146.41000000000005,121.00000000000001,13.0,9.5,6.0,4.0,2.0,13.872862717185765,14.403627039894937,14.403627039894937,16.828976900706074,18.104101333885886,18.104101333885886,19.647001898033455,58290253.85741615,26154540.855653398,8211309.338402813,7106642.87429426,14907964.864601986,138758749.8936031,8296655.635319529,261726117.31929123,2315437338.08809,11.303528409687154
12,Bolivia,0.5,4.4,3.2,2.7,2.4,14.3,2.8,918.993,4594.965,40435.692,29407.776,24812.811000000005,22055.832000000002,131415.99900000004,25731.804,6.0,3.0,3.0,,,2012.0,8.57746696472168,3.1033666133880615,196.8227577699306,153.76454081097512,153.76454081097512,120.1260173300049,114.74342497820575,114.74342497820575,109.60201518676784,12.0,9.0,6.0,4.5,3.0,10.173592956834364,11.576736655673498,11.576736655673498,13.366098241716763,14.343192707612804,14.343192707612804,16.939741629806925,,,,,,,,0.0,36572764862.8234,0.0
13,Bosnia and Herzegovina,0.4,0.0,0.0,0.0,2.2,1.1,0.0,128.368,513.4720000000001,0.0,0.0,0.0,2824.0960000000005,1412.0480000000002,0.0,5.0,4.0,4.0,,,,10.0,10.0,345.2271214393103,272.0340042027498,272.0340042027498,214.3588810000001,177.1561000000001,177.1561000000001,146.41000000000005,13.0,10.5,8.0,6.0,4.0,13.872862717185763,14.026602301744907,14.026602301744907,15.775155055102912,16.828976900706074,16.828976900706074,18.104101333885886,,,,,,,,0.0,19946496562.9733,0.0
14,Brazil,2.3,1.2,1.1,0.9,5.7,25.5,1.8,9577.976,220293.448,114935.71200000001,105357.73600000002,86201.78400000001,545944.6320000001,2442383.8800000004,172403.56800000003,5.0,4.0,3.0,Brazil,202.71,2012.0,7.923233509063721,6.348732948303223,225.26876828122172,186.171677650248,186.171677650248,153.86018143375756,136.03842655530374,136.03842655530374,120.28098060972631,12.0,9.5,7.0,5.0,3.0,11.148579289964598,11.86831820152437,11.86831820152437,14.01313073409716,15.76553339795167,15.76553339795167,17.802800675195243,5974169318.782756,3318184970.5243654,3041669556.314002,2938379242.2608395,20936963153.01475,93665361474.01337,7466051798.234548,137340779513.14462,1444733258971.65,9.506307040436152
15,Burkina Faso,54.6,13.0,2.1,4.3,3.6,16.2,0.2,1382.987,755110.9020000001,179788.31000000003,29042.727000000003,59468.441,49787.53200000001,224043.89400000003,2765.974,6.0,4.0,3.0,Burkina Faso,62.41,,10.0,10.0,345.22712143931034,259.3742460100002,259.3742460100002,194.87171000000012,161.05100000000007,161.05100000000007,133.10000000000005,13.0,10.0,7.0,5.0,3.0,13.872862717185765,14.904227909976346,14.904227909976346,16.276974981580615,17.436179011744077,17.436179011744077,18.838815888241864,7845348815.902164,2006810486.418497,324177078.5752957,724929341.1304934,650140687.7125571,2925633094.706507,39024479.914315246,14516063984.35983,17933606353.1775,80.94336241404035
16,Burundi,6.4,26.9,4.3,10.4,8.5,31.0,1.0,700.329,44821.056,188388.50099999996,30114.146999999997,72834.216,59527.965000000004,217101.98999999996,7003.29,6.0,3.0,3.0,Burundi,2.23,1998.0,12.878266334533691,21.262531280517578,657.6907915784642,457.2890156629909,457.2890156629909,317.9506943439992,238.10572259959244,238.10572259959244,178.31171984589213,12.0,9.0,6.0,4.5,3.0,25.969833844869072,25.42352116971151,25.42352116971151,25.378054391547664,22.58283593681533,22.58283593681533,22.492763834048535,31148516.29043527,128166994.39880747,20487660.814679265,49462935.00391945,35973742.7515427,131198355.917391,4215324.793319026,400653529.9700942,2841786382.19063,14.09865049959332
17,Cambodia,3.8,20.2,1.5,8.7,17.3,11.5,6.4,880.748,33468.424,177911.096,13211.220000000001,76625.07599999999,152369.40400000004,101286.02,56367.872,6.0,3.0,3.0,Cambodia,182.0,2012.0,12.76830005645752,2.9830493927001953,245.31080991467985,171.06280355012225,171.06280355012225,119.28737575243969,114.1421012808179,114.1421012808179,109.2187601799433,12.0,9.0,6.0,4.5,3.0,11.835519789859736,12.36588328621446,12.36588328621446,13.315175748086583,14.303028955580983,14.303028955580983,16.908767496337113,865117768.9789177,4804860821.033356,356796595.62128884,2228283556.3726726,4759687290.226852,3163953979.0525312,2081594952.3342595,18260294963.619877,25808561550.9514,70.7528582233082
18,Cameroon,9.351361353,8.782605887,4.176956964,5.186918917,9.314785205,28.25666333,1.498729761,1713.741,160258.11356451572,150511.11795393267,71582.22404442324,88890.35611738497,159631.29312001902,484246.02471817523,25684.34639345901,6.0,4.0,3.0,Cameroon,65.36,2007.0,11.070233345031738,8.85669994354248,340.0730806291369,248.18709903719594,248.18709903719594,181.12823283320293,152.85365270399595,152.85365270399595,128.99280680593526,13.0,10.0,7.0,5.0,3.0,13.712267602568392,14.440266482588932,14.440266482588932,15.518332404427719,16.888659887609087,16.888659887609087,18.50687828034643,1723544877.4090543,1704657285.656767,810725223.489397,1081914611.151596,2114494262.425231,6414377913.351618,372816372.63574904,14222530546.119411,40804449726.0184,34.85534210512979
19,Central African Republic,14.32020415,22.46504824,19.84054015,6.166541556,5.742579418,26.62012004,0.104846024,359.484,51478.84268658601,80758.2540150816,71323.567352826,22167.73024717104,20643.65419500312,95695.0723245936,376.9046809161599,6.0,4.0,3.0,,,,10.0,10.0,345.22712143931034,259.3742460100002,259.3742460100002,194.87171000000012,161.05100000000007,161.05100000000007,133.10000000000005,13.0,10.0,7.0,5.0,3.0,13.872862717185765,14.904227909976346,14.904227909976346,16.276974981580615,17.436179011744077,17.436179011744077,18.838815888241864,,,,,,,,0.0,2380087758.04137,0.0
20,Chad,43.2782222,11.69343178,10.06158827,3.325386551,5.437900836,19.6183634,0.271081579,1112.97,481673.62961934,130144.38768186599,111982.458968619,37010.55469666471,60522.2049344292,218346.49913298,3017.0566497963,6.0,4.0,3.0,Chad,121.48,2003.0,1.0995266437530518,7.408037185668945,176.09709617288183,170.41382637722842,170.41382637722842,164.91397559456362,142.94991484591745,142.94991484591745,123.91113658367641,13.0,10.0,7.0,5.0,3.0,8.602928544509465,11.214797229022457,11.214797229022457,14.623302293135433,16.227167128803934,16.227167128803934,18.096184802346016,6040671452.838009,2127663284.650128,1830743305.3109584,788963807.8485093,1431671831.5198457,5165055249.6945,79589635.69212249,17464358567.554073,10829076801.729,161.27282950625732
21,Colombia,0.787515899,2.134075658,0.632183812,3.604593107,6.760065581,19.77748714,1.798513654,1659.331,13067.495442035688,35411.378956647975,10490.021969497719,59812.13084831417,112171.86380586312,328173.9751350334,29843.294600054738,5.0,4.0,2.0,Colombia,237.57,2012.0,6.000699996948242,5.270533561706543,182.13130988855272,157.43916508465335,157.43916508465335,136.09461611910717,122.80818039199524,122.80818039199524,110.81885236366385,11.0,8.5,6.0,4.0,2.0,10.63704832346567,11.744372990478071,11.744372990478071,14.335714931222949,16.370041296357318,16.370041296357318,18.741893178869407,396265564.0258691,1185620004.2677763,351219869.3948362,2444451780.9328556,5234877878.711287,15315344013.32947,1594531371.2394848,26522310481.90158,271437596293.843,9.771052663312723
22,Comoros,10.5,8.1,3.1,3.9,6.3,29.5,1.4,53.698,5638.29,4349.538,1664.6380000000001,2094.2219999999998,3382.9739999999997,15840.91,751.7719999999999,6.0,4.0,3.0,Comoros,125.15,2004.0,2.222473382949829,5.386663436889648,164.731970703316,154.21930409099951,154.21930409099951,144.37752218205827,129.9954867142194,129.9954867142194,117.0461046197869,13.0,10.0,7.0,5.0,3.0,8.248801812756966,10.543166321335127,10.543166321335127,13.489686123562075,15.361911956829637,15.361911956829637,17.541362523347274,69847421.60546534,68869398.05704994,26357423.94775986,42426446.895003125,78046967.2180981,365458021.1006181,19804394.569689166,670810073.3936837,1235400352.2931,54.29900292229585
23,Congo,2.4,10.0,2.5,1.0,7.9,36.7,1.0,343.1,8234.400000000001,34310.0,8577.5,3431.0000000000005,27104.9,125917.70000000003,3431.0000000000005,6.0,4.0,3.0,,,,10.0,10.0,345.22712143931034,259.3742460100002,259.3742460100002,194.87171000000012,161.05100000000007,161.05100000000007,133.10000000000005,13.0,10.0,7.0,5.0,3.0,13.872862717185765,14.904227909976346,14.904227909976346,16.276974981580615,17.436179011744077,17.436179011744077,18.838815888241864,,,,,,,,0.0,,
24,Costa Rica,0.200326721,0.495768115,0.201855928,3.059070043,5.532161587,39.97111838,0.388449745,142.732,285.93033541772,707.6197459018001,288.11300315295995,4366.2718537747605,7896.16487635684,57051.57668614159,554.4420900334001,6.0,3.0,2.0,Costa Rica,526.39,2009.0,4.188499927520752,4.856133460998535,162.13915578027397,143.36018464799787,143.36018464799787,126.7561955864608,118.05338305633593,118.05338305633593,109.94808724390737,11.0,8.0,5.0,3.5,2.0,9.883294656692787,12.21229899676555,12.21229899676555,15.145552471615053,16.02069941580512,16.02069941580512,18.66448175823321,17850519.239241824,54586625.60576701,22225378.427252542,417719518.3591981,799073184.0985137,5773484438.8747635,65367368.81809216,7150307033.422829,61846895120.7808,11.561303149428916
25,Cuba,0.279056701,0.140238224,0.014636671,1.097698231,2.019052949,5.459703073,12.42304518,378.572,1056.4305341097202,530.9026493612799,55.41033813812,4155.578147061321,7643.569130088281,20668.907117517563,47030.1705988296,6.0,3.0,3.0,,,,10.0,10.0,313.84283767210036,235.7947691000002,235.7947691000002,177.1561000000001,153.55610346059197,153.55610346059197,133.10000000000005,12.0,9.0,6.0,4.5,3.0,14.184453409871747,15.318955121941382,15.318955121941382,16.828976900706074,16.935578141662667,16.935578141662667,18.838815888241864,,,,,,,,0.0,107352000000.0,0.0
26,Côte d'Ivoire,29.243734,13.89978184,2.717805245,5.93556349,5.319423063,24.88652535,1.863336936,1747.294,510974.00955796003,242870.0541034096,47488.047977570306,103711.7447269606,92945.96001441524,434840.764249029,32557.97448251184,6.0,4.0,3.0,Côte d'Ivoire,108.02,2008.0,12.591800689697266,12.106266975402832,453.3669194977196,317.63586477114615,317.63586477114615,222.5405918470885,177.07182208050313,177.07182208050313,140.89308343555376,13.0,10.0,7.0,5.0,3.0,17.242398175579893,17.32049578131432,17.32049578131432,17.80430256954544,18.506245480407106,18.506245480407106,19.468641988817176,11420415360.060743,5452801743.906772,1066178832.8855506,2393526970.6099606,2229637474.541363,10431193171.574892,821634101.9008437,33815387655.48013,,
27,Democratic Republic of the Congo,5.834717033,8.943697425,16.64686476,4.66986701,3.041875239,23.96144263,1.053948346,8049.578,469670.0986506208,719929.9003093665,1340002.363410713,375904.5874662178,244858.1200259914,1928795.0144271017,84838.39419097989,6.0,2.0,4.0,,,,10.0,10.0,313.84283767210025,235.7947691000002,235.7947691000002,177.1561000000001,161.05100000000004,161.05100000000004,146.41000000000005,12.0,9.0,6.0,5.0,4.0,14.184453409871738,15.318955121941382,15.318955121941382,16.828976900706074,17.436179011744077,17.436179011744077,18.104101333885886,,,,,,,,0.0,,
28,Dominican Republic,1.0,3.9,8.1,1.8,2.2,18.6,2.0,771.288,7712.88,30080.232,62474.328,13883.184000000001,16968.336,143459.56800000003,15425.76,6.0,2.0,4.0,,,2012.0,9.171299934387207,4.589166641235352,221.60068838145074,170.31216132178128,170.31216132178128,130.89414345214837,125.15076623676052,125.15076623676052,119.65939710185869,12.0,9.0,6.0,5.0,4.0,11.022855938716914,12.331638992774721,12.331638992774721,14.019941133045664,15.038322261686409,15.038322261686409,16.138695605179695,,,,,,,,0.0,78844702329.0785,0.0
29,Egypt,3.3,5.5,0.3,2.6,6.1,6.1,4.6,5275.602,174094.866,290158.11000000004,15826.805999999999,137165.652,321811.72199999995,321811.72199999995,242677.69199999998,6.0,3.0,3.0,Egypt,101.89,,10.0,10.0,313.84283767210036,235.7947691000002,235.7947691000002,177.1561000000001,153.55610346059197,153.55610346059197,133.10000000000005,12.0,9.0,6.0,4.5,3.0,14.184453409871747,15.318955121941382,15.318955121941382,16.828976900706074,16.935578141662667,16.935578141662667,18.838815888241864,3019335529.7053437,5434713642.831102,296438925.9726055,2822382657.014241,6663688610.171262,6663688610.171262,5589799956.685375,30490047932.55119,,
30,Eswatini,0.3,7.4,15.6,3.8,4.8,42.9,0.5,52.267,156.80100000000002,3867.7580000000007,8153.652000000001,1986.146,2508.8160000000003,22422.543,261.33500000000004,7.0,3.0,2.0,Eswatini,31.74,,10.0,10.0,313.84283767210036,224.8214910766528,224.8214910766528,161.05100000000007,139.59645769144723,139.59645769144723,121.00000000000001,12.0,8.5,5.0,3.5,2.0,14.184453409871747,14.818354251859972,14.818354251859972,17.436179011744077,17.603500463804483,17.603500463804483,19.647001898033455,847129.1021677207,21829683.268916793,46019332.2966354,13190178.037330113,16821162.845833287,150339142.93463504,1955609.026920678,251002237.512439,3972728948.47088,6.318131459964084
31,Ethiopia,12.08390197,20.58255365,12.89644674,3.964378397,9.339765013,25.26253573,6.052724954,5161.231,623678.0944852507,1062313.1395754316,665615.4070433694,204610.72678326708,482046.84717811,1303857.8254828362,312395.1166705837,6.0,4.0,2.0,Ethiopia,24.85,2014.0,13.409934043884277,8.821516036987305,353.3419641711474,242.23780652432225,242.23780652432225,166.0690233818157,140.23586181367114,140.23586181367114,118.42122352588287,12.0,9.0,6.0,4.0,2.0,15.538285030367936,15.612886446174679,15.612886446174679,16.155767267925906,17.6504784152758,17.6504784152758,19.417747480469735,2889822801.3938155,4945877931.587911,3098947410.1171527,985742826.8211141,2537192197.9324107,6862689635.65248,1808884029.8110285,23129156833.31591,107645054311.876,21.486502079607543
32,Gabon,1.5,5.6,11.6,1.8,4.4,62.4,0.4,119.009,1785.135,6664.503999999999,13805.043999999998,2142.1620000000003,5236.396000000001,74261.61600000001,476.036,5.0,4.0,3.0,Gabon,256.01,2005.0,5.72796630859375,10.590950012207031,267.2923409267619,232.54757662505133,232.54757662505133,202.31921051939756,165.42378138394523,165.42378138394523,135.25669350483972,12.0,9.5,7.0,5.0,3.0,12.58893624203856,13.79165292994359,13.79165292994359,16.68807843952013,17.72824684136239,17.72824684136239,19.013116840043853,69039601.29966539,282372453.9783083,584914368.9550673,109823889.14557979,285191415.0968625,4044532795.919141,27805537.197912753,5403680061.592538,15316826191.5682,35.2793718098546
33,Georgia,0.23239629,0.060044835,0.0,0.024619424,0.865297061,4.424182647,8.059706559,131.519,305.6452766451,78.97036654365,0.0,32.37922025056,1138.0300416565901,5818.64077550793,10600.04546933121,6.0,3.0,3.0,Georgia,7.1,2013.0,3.2605066299438477,7.170163154602051,183.6744974772254,166.81922751565818,166.81922751565818,151.51071624612192,136.56283167881332,136.56283167881332,123.08968935135141,12.0,9.0,6.0,4.5,3.0,9.722936648290213,12.172291375885614,12.172291375885614,15.271783785332612,15.800559586735433,15.800559586735433,18.029796586251322,253194.77517423662,81898.52655085867,0.0,42130.41600851917,1532024.7784955846,7833098.880471274,16283139.740173224,26025487.116873696,15846489610.8073,0.16423503095047828
34,Ghana,3.124487162,5.078461321,12.39622511,2.42793924,3.520602611,52.35746947,3.63645979,1917.41,59909.2292929042,97374.9252149861,237686.45988165098,46553.54978168401,67504.3865235751,1003907.355364727,69725.843659439,6.0,3.0,4.0,Ghana,72.4,2012.0,2.717116594314575,8.806391716003418,212.04975548128792,195.6632743404397,195.6632743404397,180.54308451678693,159.07401602997015,159.07401602997015,140.15791656395663,13.0,10.0,7.0,5.5,4.0,9.723179946290378,12.261960544766346,12.261960544766346,15.486032105064245,15.731028944849207,15.731028944849207,17.644751664334972,506083138.8066459,1037353708.2118452,2532119331.6000614,626343781.1559341,922590412.5768163,13720520233.916672,1068880466.247482,20413891072.515457,68532281805.6722,29.787263074649097
35,Guinea,36.45937821,10.51295471,5.211449702,3.851929109,3.648125058,24.39502066,0.734434411,884.589,322515.6491140569,92996.44093964192,46099.910804424784,34073.741186012005,32270.912969311623,215795.6693060874,6496.72601192079,6.0,4.0,3.0,,,1994.0,19.46576690673828,6.294070243835449,445.6809947732214,261.39284080265287,261.39284080265287,153.30745089915234,135.68917049636067,135.68917049636067,120.09560449936512,13.0,10.0,7.0,5.0,3.0,17.00291191469603,14.987944529020746,14.987944529020746,13.98261990251103,15.742205806160532,15.742205806160532,17.787818837300897,,,,,,,,0.0,15681050917.1563,0.0
36,Guinea-Bissau,11.42182603,12.17003791,38.74718527,2.943049449,4.082701206,24.29962437,0.111476788,128.067,14627.589941840102,15585.802450199699,49622.357759730905,3769.0751378508303,5228.59295348802,31119.7999419279,142.76497808796,6.0,3.0,3.0,Guinea-Bissau,32.48,,10.0,10.0,313.84283767210036,235.7947691000002,235.7947691000002,177.1561000000001,153.55610346059197,153.55610346059197,133.10000000000005,12.0,9.0,6.0,4.5,3.0,14.184453409871747,15.318955121941382,15.318955121941382,16.828976900706074,16.935578141662667,16.935578141662667,18.838815888241864,80869107.2828815,93058399.25689498,296281002.8696567,24722351.46562404,34512953.54986148,205415915.79819673,1048268.5380673083,735907998.7611828,1431758242.90375,51.3989007857002
